打,1,8,,1,2,
找,,,,1,14,
找,2,2,4,,,
把,2,5,2,1,14,
投,,,,2,7,1
护,2,7,4,,,
报,2,3,4,1,10,
拍,,,,2,6,4
据,,,,2,4,2
接,2,4,4,,,
提,2,8,1,,,
收,2,4,1,,,
改,,,,2,7,3
放,2,1,1,,,
政,,,,2,6,4
故,,,,2,2,3
教,2,1,2,,,
数,2,8,4,,,
整,,,,2,7,1
文,1,6,,,,
斤,,,,1,8,
新,,,,1,8,
方,1,12,,1,6,
旁,,,,1,9,
旅,,,,2,3,3
族,,,,2,8,3
无,,,,2,5,1
日,1,7,,1,2,
旧,2,5,4,,,
早,1,5,,,,
时,1,7,,1,5,
明,1,7,,1,1,
易,2,4,1,,,
星,1,6,,1,5,
春,,,,1,7,
昨,1,7,,,,
晚,,,,1,5,
景,,,,2,6,3
更,2,2,1,,,
最,1,14,,1,6,
月,1,7,,1,1,
有,1,3,,,,
朋,1,6,,,,
服,2,4,2,1,10,
望,2,4,3,,,
朝,,,,2,7,3
期,1,6,,1,5,
本,1,4,,1,2,
术,2,6,1,,,
机,1,9,,1,4,
李,,,,1,10,
村,,,,2,6,4
条,1,13,,1,10,
来,1,8,,,,
杯,1,11,,,,
果,2,2,4,1,8,
染,,,,2,4,3
树,,,,2,6,3
校,2,1,,1,9,
样,1,7,,1,6,
根,,,,2,4,2
格,,,,2,5,2
梦,,,,2,5,1
楚,2,6,4,,,
楼,2,4,3,1,13,
次,,,,1,12,
欢,1,10,,1,2,
止,2,8,3,,,
正,2,5,3,,,
此,2,7,2,,,
武,,,,2,6,4
死,,,,2,3,4
母,2,2,1,1,8,
每,1,12,,1,6,
比,1,10,,,,
毛,1,10,,1,8,
民,,,,1,12,
水,1,8,,,,
汉,1,14,,1,11,
江,2,3,2,1,13,
污,,,,2,4,3
汤,,,,1,11+,
气,1,7,,,,
汽,,,,1,14,
没,1,3,,,,
河,2,3,1,1,13,
油,2,5,2,,,
治,,,,2,6,4
法,1,2,,1,,
洲,,,,2,5,1
活,2,1,1,,,
流,2,3,2,1,13,
济,,,,2,3,3
海,1,13,,1,7,
清,2,6,4,,,
港,,,,2,4,2
游,,,,2,3,3
湖,,,,2,3,3
火,1,8,,,,
炒,,,,1,11+,
点,1,10,,1,5,
热,,,,1,7,
然,2,1,2,1,14,
照,,,,2,1,1
爱,2,2,4,1,10,
父,2,2,1,1,8,
片,,,,1,11+,
牌,,,,2,6,2
牙,,,,1,12,
牛,,,,1,11+,
物,2,3,1,,,
特,2,2,2,,,
狗,2,8,1,,,
独,,,,2,2,2
王,1,2,,1,1,
玩,,,,1,2,
环,2,3,4,,,
现,2,2,1,1,5,
班,2,1,4,1,14,
球,,,,1,2,
理,,,,2,2,3
瓜,,,,1,11+,
生,1,5,,1,3,
用,1,11,,,,
由,2,5,1,,,
电,1,4,,1,2,
男,1,10,,,,
画,2,6,3,1,9,
界,2,3,4,,,
留,2,8,1,,,
疼,,,,1,12,
病,2,5,3,1,12,
白,1,4,,1,3,
百,1,14,,1,4,
的,1,4,,,,
直,2,5,1,,,
相,2,1,4,,,
省,,,,2,3,2
看,1,5,,1,2,
真,2,6,1,,,
着,2,6,2,,,
睡,,,,1,12,
知,2,6,4,,,
短,,,,2,3,3
礼,2,8,1,,,
社,2,2,2,,,
票,,,,1,14,
禁,2,8,3,,,
离,2,2,4,1,9,
秋,,,,1,7,
种,2,5,4,1,9,
租,2,4,2,,,
程,,,,2,7,1
穷,2,1,4,,,
穿,2,6,2,1,10,
站,2,8,2,1,13,
章,,,,2,6,1
笔,,,,1,4,
第,,,,1,6,
等,2,6,4,,,
答,,,,2,1,2
筷,,,,1,11,
简,2,6,2,,,
管,,,,2,8,3
米,1,11,,,,
系,2,2,3,,,
累,,,,1,14,
红,1,4,,1,3,
约,2,8,2,,,
纸,,,,2,6,3
组,,,,2,8,1
绍,,,,2,1,1
经,,,,1,10,
结,2,2,4,,,
给,1,5,,,,
统,,,,2,5,3
网,,,,1,2,
美,1,13,,1,2,
老,1,13,,1,6,
者,,,,1,13,
而,2,4,1,,,
肉,1,11,,1,8,
胖,2,8,3,,,
能,1,12,,,,
脑,,,,1,4,
自,2,5,1,1,14,
般,2,1,1,,,
船,,,,2,4,2
色,2,3,2,,,
艺,2,6,1,,,
节,2,1,1,,,
花,1,11,,1,8,
茶,1,11,,1,8,
草,2,5,3,,,
药,2,5,3,1,12,
菜,,,,1,11+,
菜,2,5,2,,,
虽,2,1,2,,,
蛋,,,,1,11+,
行,,,,1,14,
街,2,8,1,,,
衣,2,4,2,1,10,
表,,,,1,4,
被,,,,2,3,1
西,1,7,,1,4,
要,1,8,,,,
见,,,,1,7,
观,2,7,1,,,
视,,,,1,9,
觉,1,12,,1,10,
解,,,,2,3,2
言,2,8,2,,,
认,2,2,4,1,10,
让,1,10,,,,
记,2,3,3,,,
讲,2,1,4,,,
许,2,7,2,,,
论,,,,2,5,1
访,2,8,1,,,
识,,,,1,10,
词,2,4,2,,,
试,2,1,3,,,
诗,2,6,3,,,
话,1,12,,1,10,
该,,,,1,12,
语,1,6,,,,
说,,,,1,6,
请,,,,1,11,
读,,,,2,1,2
课,1,6,,1,5,
谁,1,10,,1,3,
谈,2,8,4,,,
谢,,,,1,12,
贵,1,8,,1,4,
贸,2,7,2,,,
费,,,,2,1,3
资,,,,2,7,2
走,1,14,,1,9,
起,,,,1,5,
超,2,7,2,,,
越,2,2,1,,,
趣,2,5,4,,,
跑,2,6,4,,,
跟,1,10,,,,
路,,,,1,14,
身,,,,1,12,
车,1,8,,,,
轻,2,2,2,,,
较,2,1,1,,,
边,1,9,,,,
达,,,,2,4,4
过,1,11,,1,8,
运,2,6,2,,,
近,2,6,3,1,9,
还,1,9,,1,4,
这,1,4,,,,
进,2,1,3,1,13,
远,2,6,3,1,9,
连,2,1,3,,,
选,2,4,1,,,
通,2,4,1,,,
造,,,,2,7,3
道,2,3,4,,,
那,1,4,,,,
部,2,3,3,1,13,
都,1,4,,,,
酒,2,5,2,,,
里,1,9,,,,
重,2,2,2,,,
量,,,,2,3,2
金,2,7,2,,,
钱,1,11,,1,8,
铁,,,,2,4,1
银,2,7,2,,,
错,,,,1,6,
长,1,13,,1,3,
门,1,9,,,,
问,1,14,,,,
间,1,9,,,,
闹,,,,2,8,1
阳,2,5,3,1,13,
阴,2,5,3,,,
际,,,,2,8,3
陆,2,8,2,,,
院,,,,1,9,
除,2,2,2,,,
险,2,7,4,,,
难,2,1,3,1,14,
雨,1,7,,,,
雪,,,,2,3,2
非,2,1,4,1,14,
面,1,13,,1,9,
革,,,,2,7,3
音,2,1,1,1,10,
题,,,,1,14,
风,2,6,1,,,
飞,1,14,,1,8,
饭,1,11,,1,5,
饺,,,,1,8,
饿,,,,1,11,
馆,1,11,,1,9,
香,2,8,1,1,11+,
马,1,,,1,1,
高,,,,1,10,
鱼,1,11,,1,8,
鸟,,,,2,6,3
鸡,,,,1,11+,
鸭,,,,1,11+,
黄,,,,1,10,
黑,,,,1,10,
龙,,,,2,4,4
,"actif V","actif L",,"passif V","passif L",
